Term of Loan in Years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
9/25/2000,9.16,8.25,7.87,7.87,7.55,7.55,7.52,7.52,7.29,7.29,7.29,7.29,7.73,7.73,7.73,7.73,7.73,7.73,7.73,7.73,7.73,7.73,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01
10/2/2000,9.1,8.19,7.81,7.81,7.46,7.46,7.41,7.41,7.19,7.19,7.19,7.19,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99
10/9/2000,9.1,8.15,7.78,7.78,7.46,7.46,7.44,7.44,7.25,7.25,7.25,7.25,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94
10/16/2000,9.12,8.15,7.77,7.77,7.45,7.45,7.4,7.4,7.21,7.21,7.21,7.21,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95
10/23/2000,9.14,8.17,7.78,7.78,7.45,7.45,7.42,7.42,7.24,7.24,7.24,7.24,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92
10/30/2000,9.11,8.1,7.7,7.7,7.37,7.37,7.27,7.27,7.11,7.11,7.11,7.11,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78
11/6/2000,8.82,7.82,7.47,7.47,7.2,7.2,7.13,7.13,6.95,6.95,6.95,6.95,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82
11/13/2000,9.12,8.05,7.67,7.67,7.35,7.35,7.34,7.34,7.17,7.17,7.17,7.17,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88
11/20/2000,8.95,7.95,7.58,7.58,7.24,7.24,7.24,7.24,7.1,7.1,7.1,7.1,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82
11/27/2000,8.98,7.95,7.56,7.56,7.21,7.21,7.19,7.19,7.06,7.06,7.06,7.06,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82
12/4/2000,8.94,7.86,7.47,7.47,7.14,7.14,7.12,7.12,6.98,6.98,6.98,6.98,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74
12/11/2000,8.91,7.8,7.52,7.52,7.19,7.19,7.17,7.17,7.07,7.07,7.07,7.07,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64
12/18/2000,8.94,7.77,7.36,7.36,7,7,6.98,6.98,6.85,6.85,6.85,6.85,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51
12/25/2000,8.72,7.68,7.35,7.35,6.97,6.97,6.97,6.97,6.86,6.86,6.86,6.86,7,7,7,7,7,7,7,7,7,7,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27
1/1/2001,8.63,7.6,7.31,7.31,6.99,6.99,7.05,7.05,6.92,6.92,6.92,6.92,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23
1/8/2001,8.75,7.67,7.33,7.33,7.05,7.05,7.17,7.17,7.04,7.04,7.04,7.04,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17
1/15/2001,8.35,7.48,7.21,7.21,7.06,7.06,7.22,7.22,7.15,7.15,7.15,7.15,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98
1/22/2001,8.34,7.47,7.19,7.19,7.01,7.01,7.17,7.17,7.13,7.13,7.13,7.13,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11
1/29/2001,8.34,7.49,7.24,7.24,7.13,7.13,7.32,7.32,7.3,7.3,7.3,7.3,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23
2/5/2001,8.24,7.44,7.27,7.27,7.18,7.18,7.33,7.33,7.33,7.33,7.33,7.33,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19
2/12/2001,8.15,7.32,7.15,7.15,7.05,7.05,7.15,7.15,7.13,7.13,7.13,7.13,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08
2/19/2001,8.1,7.27,7.03,7.03,6.93,6.93,7.03,7.03,6.91,6.91,6.91,6.91,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
2/26/2001,8.13,7.27,7.04,7.04,7,7,7.1,7.1,7,7,7,7,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21
3/5/2001,8.09,7.25,7.04,7.04,7.05,7.05,7.18,7.18,7.1,7.1,7.1,7.1,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12
3/12/2001,7.99,7.17,6.96,6.96,6.95,6.95,7.07,7.07,6.97,6.97,6.97,6.97,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06
3/19/2001,8.02,7.24,7.04,7.04,7.02,7.02,7.14,7.14,7.04,7.04,7.04,7.04,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05
3/26/2001,7.92,7.18,7.05,7.05,6.98,6.98,7.13,7.13,7.05,7.05,7.05,7.05,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99
4/2/2001,7.89,7.18,7,7,7,7,7.15,7.15,7.1,7.1,7.1,7.1,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
4/9/2001,8.12,7.35,7.19,7.19,7.23,7.23,7.39,7.39,7.38,7.38,7.38,7.38,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
